Área;ID_Curso;nombre;URL;Nivel;Precio;Suscriptores;Vistas
desarrollador web;11174;Introducción al desarrollo web;https://www.udemia.cl/introduccion-al-desarrollo-web/;Todos los niveles; 120.000 ;197; 69.186 
desarrollador web;11475;Angular (Angular 2 o 4) y NodeJS: la guía MEAN Stack;https://www.udemia.cl/angular-2-and-nodejs-the-practical-guide/;Todos los niveles; 100.000 ;185; 26.673 
desarrollador web;15285;El curso completo de HTML5 y CSS3 Crea sitios web profesionales;https://www.udemia.cl/html5css3/;Todos los niveles; 20.000 ;17; 25.854 
desarrollador web;16646;Proyectos en PHP y MySQL;https://www.udemia.cl/the-complete-web-development-course-learn-by-building-apps/;Nivel principiante; 50.000 ;53; 35.267 
desarrollador web;19332;Aprende desarrollo web completo desde cero;https://www.udemia.cl/aprender-desarrollo-web-completo-desde-scratch/;Nivel principiante; 20.000 ;195; 31.070 
desarrollador web;19603;Flujo de trabajo de Sass;https://www.udemia.cl/sass-workflow/;Todos los niveles; 50.000 ;125; 47.886 
desarrollador web;21386;Aprende programación HTML5 desde cero;https://www.udemia.cl/learn-html5-programming-from-scratch/;Todos los niveles; - ;22; 73.110 
desarrollador web;23742;Domina el MEAN Stack - Aprende con el ejemplo;https://www.udemia.cl/master-the-mean-stack/;Todos los niveles; 35.000 ;64; 15.187 
desarrollador web;24334;Crear un reproductor de MP3 con HTML5;https://www.udemia.cl/creando-un-reproductor-mp3-con-html5/;Todos los niveles; 20.000 ;32; 25.864 
desarrollador web;28295;¡Curso completo de desarrollo web + Creación de 5 sitios web!;https://www.udemia.cl/creando-5-proyectos-de-desarrollo-web-en-html5-y-css3/;Nivel principiante; 75.000 ;24; 43.285 
desarrollador web;30243;Aprenda lo nuevo en PHP 7;https://www.udemia.cl/php7-nuevas-características/;Todos los niveles; 75.000 ;35; 21.653 
desarrollador web;30318;Autenticación AngularJS: Proteja su aplicación con Auth0;https://www.udemia.cl/angularjs-autenticación-con-autenticación0/;Nivel principiante; 50.000 ;93; 17.113 
desarrollador web;34882;Curso intensivo de Angular 4 (2+) para principiantes;https://www.udemia.cl/angular-crash-course-para-principiantes/;Nivel principiante; 20.000 ;14; 14.551 
desarrollador web;41295;Cree una página de inicio de inicio con estrategias de marketing viral;https://www.udemia.cl/create-startup-landing-page-with-viral-marketing-strategies/;Nivel principiante; - ;45; 268.923 
desarrollador web;47963;ES6 Javascript: la guía completa para desarrolladores;https://www.udemia.cl/javascript-es6-tutorial/;Todos los niveles; 195.000 ;251; 23.412 
desarrollador web;50522;Bootcamp de lienzo HTML5 para principiantes 25 sencillos pasos;https://www.udemia.cl/html5-canvas-course-para-principiantes/;Nivel principiante; 20.000 ;34; 16.486 
desarrollador web;59014;Curso definitivo de diseñador y desarrollador web: ¡Crea 23 proyectos!;https://www.udemia.cl/web-developer-course/;Nivel Experto; - ;27; 161.029 
desarrollador web;60792;Tutorial de aprendizaje de programación en JavaScript. Una guía definitiva;https://www.udemia.cl/programación-javascript/;Nivel principiante; - ;9; 23.669 
desarrollador web;63612;Aprenda PHP orientado a objetos construyendo un sitio web completo;https://www.udemia.cl/aprender-php-orientado-a-objetos-construyendo-un-sitio-web-completo/;Todos los niveles; 200.000 ;18; 22.999 
desarrollador web;64422;Crea un sitio web desde cero usando HTML CSS paso a paso;https://www.udemia.cl/create-a-website-from-scratch-using-html-css-in-1-hour/;Nivel principiante; 200.000 ;20; 16.212 
desarrollador web;64605;Taller HTML;https://www.udemia.cl/html-taller/;Todos los niveles; 100.000 ;16; 18.324 
desarrollador web;65330;Aprende y entiende NodeJS;https://www.udemia.cl/understand-nodejs/;Todos los niveles; - ;21; 72.932 
desarrollador web;79154;El curso completo de clase magistral de Bootstrap: proyectos Build 4;https://www.udemia.cl/bootstrapcourse/;Todos los niveles; 200.000 ;779; 18.170 
desarrollador web;80940;React JS y Redux - Dominio de aplicaciones web;https://www.udemia.cl/react-js-and-redux-mastering-web-apps/;Todos los niveles; 145.000 ;77; 51.257 
desarrollador web;94428;Configuración de alojamiento web e instalación de WordPress para principiantes;https://www.udemia.cl/web-hosting-wordpress-installation-for-beginners/;Todos los niveles; 40.000 ;46; 14.074 
desarrollador web;94430;React Redux React-Router: de principiante a profesional pagado;https://www.udemia.cl/react-redux-react-router/;Todos los niveles; 30.000 ;10; 84.897 
desarrollador web;94432;El Bootcamp completo para desarrolladores web: de principiante a experto;https://www.udemia.cl/job-ready-web-developer/;Todos los niveles; - ;9; 48.650 
desarrollador web;99826;Codificación para emprendedores: aprenda Python, Django y más.;https://www.udemia.cl/codificación-para-emprendedores/;Todos los niveles; 200.000 ;35; 21.730 
desarrollador web;99986;CSS y CSS3 para principiantes absolutos;https://www.udemia.cl/css-and-css3-for-absolute-beginners/;Todos los niveles; 20.000 ;15; 18.143 
desarrollador web;128946;Ingeniería web divertida y creativa con Python y Web2py;https://www.udemia.cl/ingeniería-web-con-python-y-web2py/;Todos los niveles; - ;24; 59.639 
desarrollador web;128950;Programación para Emprendedores - JavaScript;https://www.udemia.cl/tutorial-javascript/;Nivel principiante; - ;12; 15.134 
desarrollador web;130064;Beneficios de pensar primero en dispositivos móviles El futuro del diseño de sitios web;https://www.udemia.cl/thinking-mobile-websites-smart-design-tutorial/;Nivel intermedio; - ;45; 83.737 
desarrollador web;159070;Inicio rápido de AngularJS;https://www.udemia.cl/inicio-rápido-angularjs/;Todos los niveles; 20.000 ;55; 26.800 
desarrollador web;162274;Paquete de programación y desarrollo web para el regreso a clases;https://www.udemia.cl/back-to-school-web-development-and-programming-bundle/;Todos los niveles; - ;17; 19.909 
desarrollador web;164554;Aprende Angular 2 de Principiante a Avanzado;https://www.udemia.cl/aprender-angular-2-desde-principiante-a-avanzado/;Nivel principiante; 75.000 ;113; 17.802 
