id_del_curso;Área;Nombre;;Precio;Vistas;Suscriptores;Nivel
1151326;Diseño;Pájaro Triangulado: Pájaro Estilo Origami en Adobe Illustrator;https://www.udemia.cl/triangulated-bird-origami-styled-bird-in-adobe-illustrator/;;2027;11;Todos los niveles
77896;Diseño;Fundamentos de la tipografía - ¡Siéntete seguro con la tipografía!;https://www.udemia.cl/typography-crash-course/;;1873;121;Nivel principiante
750934;Diseño;Diseño de logotipos por ejemplo: diseño de 5 logotipos famosos;https://www.udemia.cl/logo-diseño-inkscape/;;2199;28;Todos los niveles
479760;Diseño;Arte de portada de podcast | Diseño como el mejor;https://www.udemia.cl/podcast-diseno-grafico/;;33;2;Nivel principiante
600366;Diseño;Convierta su carrusel de tarjetas de felicitación animadas en un video musical;https://www.udemia.cl/convierte-tu-carrusel-de-tarjetas-de-felicitacion-animadas-en-un-video-musical/;;311;0;Nivel intermedio
16689;Diseño;Dibujar con confianza;https://www.udemia.cl/dibujando-con-confianza/;;105;7;Nivel principiante
522426;Diseño;Diseñe y cree gráficos vectoriales con Inkscape 2016;https://www.udemia.cl/diseñar-crear-gráficos-vectoriales-con-inkscape/;;2091;11;Nivel principiante
546848;Diseño;¡Aprende a codificar en Python y aprende Adobe Photoshop hoy!;https://www.udemia.cl/aprender-a-codificar-en-python-y-aprender-adobe-photoshop-today/;;1132;1;Nivel principiante
952106;Diseño;Diseñe y cree logotipos de texto en Adobe Photoshop CS5;https://www.udemia.cl/aprende-cómo-diseñar-crear-logotipos-de-texto-en-adobe-photoshop-cs5/;;2035;19;Todos los niveles
1165268;Diseño;15 elementos gráficos en movimiento en After Effect (serie 2);https://www.udemia.cl/15-motion-graphic-elements-in-after-effect-series-2/;;8;0;Todos los niveles
1163768;Diseño;Fundamentos del diseño de personajes: del concepto al vector;https://www.udemia.cl/fundamentos-del-diseño-de-personajes-del-concepto-al-vector/;;1452;10;Nivel intermedio
1093446;Diseño;ABC de Adobe Illustrator;https://www.udemia.cl/abc-do-adobe-illustrator/;;115;15;Todos los niveles
967486;Diseño;ilustrador de cero a héroe;https://www.udemia.cl/ilustrador-arabe/;;155;40;Nivel intermedio
1269190;Diseño;secretos para diseñar en blanco y negro;https://www.udemia.cl/secretos-para-diseñar-en-blanco-y-negro/;;1000;1;Nivel intermedio
1047436;Diseño;Cómo dibujar y esbozar para principiantes;https://www.udemia.cl/dibujo-y-esbozo-para-principiantes/;;1360;175;Nivel principiante
573064;Diseño;Photoshop en Facilidad: Cree Diseños Gráficos Increíbles del Mundo;https://www.udemia.cl/photoshop-knights-become-a-professional-in-no-time/;;14440;182;Nivel principiante
657764;Diseño;Arte de manipulación de fotos digitales y diseño de portadas en PhotoShop;https://www.udemia.cl/digital-photo-manipulation-art-and-cover-design-in-photoshop/;;721;7;Nivel principiante
820194;Diseño;Photoshop para Emprendedores - Diseño 11 Proyectos Prácticos;https://www.udemia.cl/photoshop-para-emprendedores/;;36288;737;Todos los niveles
144222;Diseño;USTED puede Dibujar, Sombrear y Pintar una Chica de Técnica Mixta... ¡hoy!;https://www.udemia.cl/paint-a-mixed-media-girl/;;1249;44;Todos los niveles
1216554;Diseño;Photoshop no es como lo que imaginas de la A a la Z.;https://www.udemia.cl/photoshop-a-to-z/;;343;0;Nivel intermedio
446936;Diseño;Diseño de logotipo creativo con Inkscape gratis;https://www.udemia.cl/diseño-de-logotipo-con-inkscape-gratis/;;1530;49;Nivel principiante
585566;Diseño;Domine Adobe Photoshop Lightroom CC: de principiante a avanzado;https://www.udemia.cl/master-adobe-photoshop-lightroom-cc-from-beginner-to-advan/;;1468;190;Todos los niveles
117004;Diseño;Cómo Dibujar Pinups y Mujeres Sexy;https://www.udemia.cl/como-dibujar-pinups/;;3525;109;Nivel intermedio
817074;Diseño;Introducción a Photoshop CC: tutoriales para principiantes;https://www.udemia.cl/introduction-to-photoshop-cc-tutorials-for-beginners/;;262;0;Todos los niveles
870936;Diseño;Diseño de tarjetas de presentación y membretes en Adobe Illustrator;https://www.udemia.cl/stationery/;;797;30;Nivel principiante
