ID_Curso;;URL;Precio;Suscriptores;Vistas;Nivel;Área
49798;IFRIC 13-Programas de fidelización de clientes (Ingresos);https://www.udemia.cl/ifric-13-customer-loyalty-programmes-revenue/;0;22;2058;Nivel principiante;Finanzas
48841;CFP - Introducción a la planificación financiera;https://www.udemia.cl/apnacoursecfp/;30000;12;1192;Todos los niveles;Finanzas
133536;Protección de activos mediante empresas extraterritoriales;https://www.udemia.cl/protección-de-activos-utilizando-compañías-offshore/;20000;3;480;Nivel principiante;Finanzas
151668;Estrategia de velas de retroceso comercial: haga pips consistentes;https://www.udemia.cl/make-consistent-profit-using-pullback-candlestick-strategy/;200000;67;521;Nivel principiante;Finanzas
648826;Certificado de inversión Claritas completo;https://www.udemia.cl/certificado-de-inversion-claritas/;50000;56;388;Todos los niveles;Finanzas
97338;Conceptos básicos de finanzas y presupuestos;https://www.udemia.cl/básicos-de-finanzas-y-presupuestos/;20000;7;578;Nivel principiante;Finanzas
321410;Gana el 90% de las operaciones;;0;0;0;Nivel principiante;Finanzas
301442;Bitesize Contabilidad para personas ocupadas;https://www.udemia.cl/bitesize-bookkeeping-for-busy-people/;20000;0;9;Nivel principiante;Finanzas
189160;El curso completo de creación de modelos financieros: creación de 7 modelos;https://www.udemia.cl/the-complete-financial-model-builder-course-build-7-models/;75000;20;214;Nivel principiante;Finanzas
191854;Ultimate Retirement: cree su propio plan de jubilación dinámico;https://www.udemia.cl/retirement-master-course-create-a-retirement-income-to-last/;50000;15;1184;Nivel principiante;Finanzas
754028;Comercio de acciones con esta estrategia;https://www.udemia.cl/comercio-de-acciones-con-esta-estrategia/;50000;3;30;Todos los niveles;Finanzas
265960;Aprende desde cero a operar el mercado de divisas FOREX;https://www.udemia.cl/aprende-desde-cero-a-operar-el-mercado-de-divisas-forex/;90000;4;16;Todos los niveles;Finanzas
308690;Análisis técnico 101: Domine los conceptos básicos del comercio;https://www.udemia.cl/master-the-basics-of-trading-through-support-and-resistance/;95000;61;2688;Nivel principiante;Finanzas
285638;Formación de precios en los servicios.;https://www.udemia.cl/formacao-de-precos-em-servicios/;35000;5;77;Todos los niveles;Finanzas
401784;Comercio de divisas: estrategia Correlazione EUR/GBP frente a GBP/USD;https://www.udemia.cl/forex-trading-strategia-correlazione-eurgbp-gbpusd/;50000;39;137;Nivel principiante;Finanzas
189996;Recaudación de capital para su negocio;https://www.udemia.cl/recaudando-capital-para-su-negocio/;50000;5;22;Todos los niveles;Finanzas
302562;Curso de Contabilidad Xero y Certificación por Firma de Contabilidad;https://www.udemia.cl/contabilidad-online-with-practice-and-job-recommendation/;20000;3;7;Todos los niveles;Finanzas
777444;Contabilidad simplificada;https://www.udemia.cl/contabilidad-hecha-simple/;40000;16;61;Nivel principiante;Finanzas
116128;B Com Contabilidad I (Papel ECO 02 IGNOU);https://www.udemia.cl/cuentas-de-registros-incompletos/;50000;6;2946;Todos los niveles;Finanzas
888716;Ciclos de Auditoría de Estados Financieros;https://www.udemia.cl/estado-financiero-auditoría-ciclos/;50000;0;0;Todos los niveles;Finanzas
774174;Estados Financieros: Aprende Contabilidad. Desbloquea los Números.;https://www.udemia.cl/aprender-contabilidad-desbloquear-los-numeros/;40000;12;222;Todos los niveles;Finanzas
325834;Bitcoin - La guía completa;https://www.udemia.cl/bitcoin-la-guia-completa/;20000;12;2281;Todos los niveles;Finanzas
260470;Contabilidad 102: Guía de contabilidad empresarial;https://www.udemia.cl/habilidades-de-contabilidad-que-un-hombre-de-negocios-debe-tener-nivel-intermedio/;50000;1;1280;Todos los niveles;Finanzas
205810;1. Principios de interés simple;https://www.udemia.cl/principios-del-simple-interes/;20000;6;1074;Todos los niveles;Finanzas
109622;Gráficos para principiantes 101: análisis técnico desmitificado;https://www.udemia.cl/charting-for-beginners-101/;45000;102;2230;Todos los niveles;Finanzas
506568;La guía para principiantes sobre el comercio de futuros y opciones;https://www.udemia.cl/futures-options/;0;138;6185;Nivel principiante;Finanzas
43319;Análisis de crédito comercial;https://www.udemia.cl/analisis-de-credito-comercial/;50000;48;545;Nivel principiante;Finanzas
640100;Invertir en acciones y participaciones;https://www.udemia.cl/making-money-from-stocks-shares/;20000;0;2;Todos los niveles;Finanzas
114518;Banca de inversión: cómo conseguir un trabajo en Wall Street;https://www.udemia.cl/como-conseguir-un-trabajo-en-wall-street/;75000;30;1218;Nivel principiante;Finanzas
706942;Tutorial de Capacitación en Contabilidad Gerencial y Pequeñas Empresas;https://www.udemia.cl/pequeñas-empresas-y-entrenamiento-en-contabilidad-gerencial-tutorial/;20000;3;117;Todos los niveles;Finanzas
165964;Cómo operar con opciones binarias de manera efectiva: todos los niveles;https://www.udemia.cl/trade-binary-options/;195000;39;1680;Todos los niveles;Finanzas
192870;Simulación financiera y empresarial con Microsoft Excel;https://www.udemia.cl/simulación/;20000;5;44;Todos los niveles;Finanzas
252396;Monetización de su sitio web: cómo agregar costo por acción (CPA);https://www.udemia.cl/monetizing-your-website-how-to-add-cost-per-action-cpa/;35000;4;142;Todos los niveles;Finanzas
418732;Curso Avanzado de Trading;https://www.udemia.cl/curso-avanzado-de-trading/;125000;11;106;Todos los niveles;Finanzas
380970;Cómo financiar colectivamente;https://www.udemia.cl/how-to-crowdfund/;30000;6;43;Todos los niveles;Finanzas
