"ID_Curso;Nombre curso;URL;Precio;Suscriptores;Vistas;Nivel;Área"
"19421;Ultimate Blues Guitar Lecciones para principiantes;https://www.udemia.cl/beginner-electric-guitar-lessons/;20000;57;95;Todos los niveles;Musica"
"238934;Solos de tuba: aprende a interpretar tres piezas únicas y divertidas;https://www.udemia.cl/pianoforall-incredible-new-way-to-learn-piano-keyboard/;50000;0;362;Nivel principiante;Musica"
"41884;Armónica Instantánea - Navidad;https://www.udemia.cl/empezando-a-tocar-la-guitarra/;0;0;26;Todos los niveles;Musica"
"42271;Guitarra: domina el diapasón de la guitarra en 6 sencillos pasos;https://www.udemia.cl/complete-guitar-system-beginner-to-advanced/;55000;26;310;Todos los niveles;Musica"
"26956;Puedes tocar el saxofón de jazz;https://www.udemia.cl/aprender-guitarra-en-21-dias/;20000;7;82;Todos los niveles;Musica"
"456284;Aprende a tocar la guitarra y cantar al mismo tiempo;https://www.udemia.cl/la-clase-magistral-de-guitarra-profesional/;45000;9;136;Todos los niveles;Musica"
"583752;Saxophone Pro Series - Te va a encantar practicar Sax;https://www.udemia.cl/introductiontopiano/;50000;4;8;Todos los niveles;Musica"
"59922;Rhythm to Rock Drum Lessons 2;https://www.udemia.cl/las mejores-lecciones-de-guitarra-para-principiantes-de-sam-lyons-udemy/;20000;2;32;Todos los niveles;Musica"
"198690;Bluegrass Guitar Essentials: Webisodes 9 & 10;https://www.udemia.cl/guitarra-acustica-basics/;30000;0;21;Nivel principiante;Musica"
"484670;Paquete de entrenamiento: Guitarra para educadores musicales: Parte 2;https://www.udemia.cl/guitar-super-system-level-1-unlock-your-potential/;135000;1;104;Nivel intermedio;Musica"
"953152;Improvisación de piano de jazz: La chica de Ipanema. Bossa Nova;https://www.udemia.cl/piano-lessons-music-theory-beginners-course/;30000;1;23;Nivel Experto;Musica"
"1191750;Aprende la banda sonora de Lion (Saroo) en el piano de oído;https://www.udemia.cl/jazz-guitar-tips-tricks-and-licks/;20000;0;21;Nivel intermedio;Musica"
"645202;Comenzar a tocar blues en tu armónica en sencillos pasos;https://www.udemia.cl/total-beginner-guitar-lessons/;35000;3;17;Nivel intermedio;Musica"
"200598;Play Piano 5: Improvise con Misty Eb Key Runs y 2-5 Chords;https://www.udemia.cl/benhewlettharmonicatuitionultimate-harmonica-course/;50000;6;131;Nivel principiante;Musica"
"101496;Aprende diferentes ritmos con la guitarra rítmica;https://www.udemia.cl/swing-acoustic-blues-guitar-lessons/;20000;1;6;Todos los niveles;Musica"
"99324;Lecciones de guitarra - Fundamentos de flexión de cuerdas y vibrato;https://www.udemia.cl/finger-picking-blues-guitar/;0;28;28;Nivel principiante;Musica"
"1132342;Aprende a tocar el acordeón de botones;https://www.udemia.cl/beginner-guitar-masterclass/;50000;4;124;Todos los niveles;Musica"
"194692;Método de guitarra para principiantes;https://www.udemia.cl/quicklessons/;200000;2;144;Nivel intermedio;Musica"
"76524;Curso de Didgeridoo nivel principiante;https://www.udemia.cl/piano-contemporáneo/;50000;0;26;Todos los niveles;Musica"
"409818;El círculo de quintas para guitarristas;https://www.udemia.cl/comienza-a-tocar-blues-harmonica/;50000;2;23;Nivel intermedio;Musica"
"517148;#7 Coordinación de la mano del piano: Toque las ejecuciones del piano en 3 tiempos 9/4;https://www.udemia.cl/guitarra-acoustic-fingerstyle/;65000;2;56;Todos los niveles;Musica"
"824044;Guitarra - Guitarra de blues para principiantes;https://www.udemia.cl/pi-101-piano/;45000;26;38;Nivel principiante;Musica"
"1052180;Impresionante guitarra solista 1;0;25000;0;0;0;Musica"
"42038;Interpretación básica de himnos de piano;https://www.udemia.cl/learnpianotoday/;20000;21;75;Todos los niveles;Musica"
"65033;Una guía para sintetizadores analógicos: para los entusiastas modernos de EDM.;https://www.udemia.cl/lecciones-virtuales-de-piano-una-nueva-manera-de-aprender-piano/;20000;4;12;Nivel principiante;Musica"
"315576;Sistema Pentatónico CAGED para Guitarra - Nivel 1;https://www.udemia.cl/hub-guitar-crash-course/;45000;29;29;Nivel intermedio;Musica"
"364716;Gitarre spielen wie die Profis;https://www.udemia.cl/beginner-violin-101-care-maintenance-and-the-right-gear/;20000;28;29;Nivel principiante;Musica"
"967380;Toca el arpa judía: habilidades instantáneas para no músicos.;https://www.udemia.cl/how-to-play-piano-go-from-beginnerintermediate-to-a-pro/;25000;16;291;Todos los niveles;Musica"
"1032864;Clases de guitarra acústica para principiantes;https://www.udemia.cl/la-guia-completa-de-como-leer-escribir-musica/;25000;0;85;Nivel principiante;Musica"
"555340;Drumming Accelerator: cómo obtener el mejor comienzo posible;https://www.udemia.cl/flyingstart/;200000;4;58;Todos los niveles;Musica"
"574974;¡Domina el bombardino con instrucciones simples e intermedias!;https://www.udemia.cl/el-curso-de-piano-completo/;50000;6;240;Todos los niveles;Musica"
"1105794;Un nuevo enfoque del piano y la interpretación de canciones para principiantes.;https://www.udemia.cl/piano-music-theory-back-to-basics-by-jfilt/;50000;12;72;Nivel principiante;Musica"
