Fecha_Registro;Zona;Unidades_Mermadas;Valor_Merma_Pesos
2026-01-02;las condes;226;1084800
2026-01-04;providencia;64;160000
2026-01-07;LAS CONDES;176;792000
2026-01-07;santiago centro;27;129600
2026-01-08;santiago centro;293;1318500
2026-01-08;  Las Condes  ;145;870000
2026-01-09;  Providencia  ;216;691200
2026-01-10;las condes;111;355200
2026-01-11;  Santiago Centro;239;764800
2026-01-12;  Santiago Centro  ;44;140800
2026-01-12;Providencia  ;244;610000
2026-01-12;Providencia  ;169;540800
2026-01-15;LAS CONDES;276;1242000
2026-01-16;Santiago Centro;91;436800
2026-01-16;santiago centro;198;495000
2026-01-16;  Providencia  ;182;455000
2026-01-17;las condes;200;900000
2026-01-22;Las Condes;334;1068800
2026-01-25;  Las Condes  ;230;1035000
2026-01-27;las condes;304;1368000
2026-01-30;Santiago Centro;272;1224000
2026-02-02;Las Condes;334;1603200
2026-02-04;LAS CONDES;130;585000
2026-02-08;Santiago Centro;157;706500
2026-02-10;Santiago Centro;190;1140000
2026-02-11;Santiago Centro;120;384000
2026-02-12;Las Condes;239;1075500
2026-02-15;Santiago Centro  ;152;729600
2026-02-18;  Las Condes  ;166;863200
2026-02-19;santiago centro;141;634500
2026-02-23;santiago centro;54;135000
2026-02-24;Las Condes  ;217;1128400
2026-02-24;  Providencia;210;672000
2026-03-01;  Santiago Centro;189;982800
2026-03-02;PROVIDENCIA;54;280800
2026-03-03;  Santiago Centro;96;240000
2026-03-06;LAS CONDES;318;1653600
2026-03-07;  Santiago Centro  ;80;480000
2026-03-09;  Santiago Centro;244;1268800
2026-03-10;Santiago Centro  ;207;931500
2026-03-11;Las Condes;133;598500
2026-03-17;PROVIDENCIA;150;900000
2026-03-19;LAS CONDES;17;42500
2026-03-19;Santiago Centro  ;27;86400
2026-03-20;Santiago Centro  ;311;995200
2026-03-24;providencia;310;1488000
2026-03-26;Providencia  ;308;985600
2026-03-27;  Las Condes;80;200000
2026-03-27;Las Condes;33;198000
2026-03-29;Santiago Centro;342;1778400
2026-03-30;las condes;26;135200
2026-04-06;Santiago Centro;267;667500
2026-04-12;Santiago Centro;310;1860000
2026-04-13;  Providencia;124;310000
2026-04-15;santiago centro;85;212500
2026-04-16;Las Condes;179;447500
2026-04-17;santiago centro;206;1071200
2026-04-19;  Las Condes  ;112;358400
2026-05-04;  Santiago Centro  ;230;736000
2026-05-05;  Providencia;331;827500
2026-05-06;  Las Condes;233;1118400
2026-05-07;las condes;184;1104000
2026-05-08;santiago centro;46;207000
2026-05-10;Las Condes  ;301;1565200
2026-05-12;Santiago Centro  ;209;1003200
2026-05-13;PROVIDENCIA;256;1536000
2026-05-14;  Providencia;61;195200
2026-05-16;  Santiago Centro  ;100;320000
2026-05-16;PROVIDENCIA;150;720000
2026-05-17;providencia;26;156000
2026-05-17;  Las Condes;318;1653600
2026-05-19;santiago centro;90;405000
2026-05-28;  Providencia;244;1268800
2026-05-30;Santiago Centro  ;273;1310400
2026-06-01;las condes;62;279000
2026-06-01;las condes;333;1498500
2026-06-02;LAS CONDES;184;588800
2026-06-04;  Santiago Centro  ;115;517500
2026-06-06;Providencia  ;125;650000
2026-06-10;Las Condes;121;302500
2026-06-12;  Providencia  ;106;265000
2026-06-16;Las Condes  ;195;487500
2026-06-17;  Providencia  ;194;931200
2026-06-19;las condes;94;564000
2026-06-20;Las Condes  ;338;2028000
2026-06-20;Santiago Centro  ;184;588800
2026-07-01;Providencia;27;162000
2026-07-02;  Las Condes  ;151;785200
2026-07-04;Providencia;280;896000
2026-07-05;Santiago Centro;94;564000
2026-07-06;Santiago Centro  ;110;275000
2026-07-07;Las Condes  ;152;486400
2026-07-07;santiago centro;294;1323000
2026-07-14;  Santiago Centro  ;210;1260000
2026-07-16;  Providencia;339;1762800
2026-07-16;Providencia;73;379600
2026-07-17;  Providencia;85;382500
2026-07-20;  Providencia;24;144000
2026-07-21;Santiago Centro;140;630000
2026-07-22;santiago centro;221;1326000
2026-07-27;  Las Condes;55;264000
2026-07-29;  Santiago Centro;144;691200
2026-07-30;  Providencia;180;864000
2026-07-31;  Providencia  ;237;1066500
2026-08-01;Providencia;140;630000
2026-08-05;  Providencia  ;261;1357200
2026-08-07;  Santiago Centro  ;349;1570500
2026-08-08;PROVIDENCIA;51;265200
2026-08-08;  Santiago Centro  ;34;85000
2026-08-09;Providencia;334;2004000
2026-08-13;providencia;291;1513200
2026-08-14;  Providencia;133;691600
2026-08-17;  Santiago Centro  ;47;211500
2026-08-17;santiago centro;21;100800
2026-08-19;  Santiago Centro  ;58;301600
2026-08-20;Providencia;53;132500
2026-08-21;providencia;183;585600
2026-08-22;santiago centro;129;412800
2026-08-23;Las Condes;295;1770000
2026-08-24;  Providencia  ;240;1440000
2026-08-26;Las Condes  ;143;743600
2026-08-27;Providencia;320;1440000
2026-08-27;  Providencia  ;71;227200
2026-08-27;  Santiago Centro  ;315;1638000
2026-08-28;  Las Condes  ;211;949500
2026-09-02;  Santiago Centro;315;1417500
2026-09-04;  Santiago Centro;266;665000
2026-09-09;santiago centro;243;1263600
2026-09-09;  Las Condes  ;206;927000
2026-09-10;  Providencia;152;912000
2026-09-20;  Santiago Centro  ;298;745000
2026-09-24;LAS CONDES;81;259200
2026-09-27;  Santiago Centro  ;177;796500
2026-09-30;  Santiago Centro;141;733200
2026-10-01;LAS CONDES;339;2034000
2026-10-02;Las Condes;251;627500
2026-10-05;santiago centro;226;1356000
2026-10-15;Las Condes  ;112;280000
2026-10-16;santiago centro;231;1386000
2026-10-16;las condes;143;457600
2026-10-25;  Santiago Centro  ;280;1456000
2026-10-31;providencia;69;310500
2026-10-31;  Santiago Centro  ;179;447500
2026-10-31;  Santiago Centro;44;110000
2026-11-06;Providencia;17;54400
2026-11-08;  Las Condes  ;82;426400
2026-11-08;  Las Condes;259;1243200
2026-11-09;Providencia  ;252;1310400
2026-11-17;Providencia  ;88;220000
2026-11-20;  Santiago Centro  ;29;174000
2026-11-22;las condes;67;167500
2026-11-24;las condes;77;346500
2026-11-25;Santiago Centro  ;26;156000
2026-11-26;providencia;181;452500
2026-11-29;  Las Condes;45;202500
