Fecha;Cod_Libro;Cod_Usuario;Valor_Prestamo
01/07/2025;L036;U034;1000
02/07/2025;L035;U012;1000
02/07/2025;L010;U035;1000
02/07/2025;L012;U053;1000
02/07/2025;L008;U072;1000
02/07/2025;L024;U073;1000
02/07/2025;L007;U035;1000
02/07/2025;L010;U010;1000
02/07/2025;L022;U069;1000
02/07/2025;L039;U083;1000
02/07/2025;L026;U014;1000
02/07/2025;L028;U057;1000
02/07/2025;L024;U057;1000
02/07/2025;L003;U008;1000
02/07/2025;L015;U053;1000
02/07/2025;L005;U010;1000
02/07/2025;L017;U053;1000
02/07/2025;L036;U089;1000
02/07/2025;L031;U002;1000
02/07/2025;L003;U068;1000
02/07/2025;L015;U024;1000
03/07/2025;L006;U007;1000
03/07/2025;L007;U038;1000
03/07/2025;L040;U051;1000
03/07/2025;L026;U072;1000
03/07/2025;L021;U041;1000
03/07/2025;L031;U079;1000
03/07/2025;L009;U057;1000
03/07/2025;L037;U002;1000
03/07/2025;L006;U037;1000
03/07/2025;L039;U041;1000
03/07/2025;L024;U030;1000
04/07/2025;L016;U021;1000
04/07/2025;L029;U046;1000
04/07/2025;L001;U035;1000
04/07/2025;L037;U080;1000
04/07/2025;L039;U060;1000
04/07/2025;L031;U013;1000
04/07/2025;L019;U024;1000
04/07/2025;L029;U021;1000
04/07/2025;L015;U048;1000
05/07/2025;L015;U079;1000
05/07/2025;L002;U005;1000
05/07/2025;L021;U018;1000
05/07/2025;L038;U051;1000
05/07/2025;L009;U068;1000
05/07/2025;L028;U022;1000
05/07/2025;L029;U081;1000
06/07/2025;L017;U004;1000
06/07/2025;L018;U081;1000
06/07/2025;L026;U058;1000
06/07/2025;L019;U001;1000
06/07/2025;L012;U053;1000
06/07/2025;L031;U001;1000
06/07/2025;L031;U064;1000
06/07/2025;L023;U086;1000
06/07/2025;L008;U084;1000
06/07/2025;L037;U084;1000
06/07/2025;L033;U081;1000
06/07/2025;L008;U053;1000
06/07/2025;L023;U069;1000
06/07/2025;L039;U029;1000
06/07/2025;L005;U029;1000
06/07/2025;L038;U074;1000
06/07/2025;L031;U027;1000
06/07/2025;L012;U067;1000
06/07/2025;L019;U069;1000
06/07/2025;L009;U017;1000
06/07/2025;L011;U081;1000
07/07/2025;L030;U047;1000
07/07/2025;L031;U081;1000
07/07/2025;L039;U061;1000
07/07/2025;L011;U067;1000
08/07/2025;L015;U055;1000
08/07/2025;L027;U060;1000
08/07/2025;L023;U082;1000
08/07/2025;L024;U081;1000
08/07/2025;L009;U005;1000
08/07/2025;L022;U075;1000
08/07/2025;L036;U001;1000
08/07/2025;L014;U074;1000
08/07/2025;L031;U069;1000
08/07/2025;L015;U046;1000
09/07/2025;L012;U041;1000
10/07/2025;L015;U019;1000
11/07/2025;L023;U003;1000
11/07/2025;L023;U085;1000
11/07/2025;L033;U089;1000
11/07/2025;L039;U085;1000
11/07/2025;L002;U019;1000
12/07/2025;L012;U033;1000
12/07/2025;L039;U025;1000
12/07/2025;L030;U020;1000
12/07/2025;L028;U073;1000
12/07/2025;L015;U069;1000
12/07/2025;L008;U028;1000
12/07/2025;L039;U060;1000
12/07/2025;L015;U052;1000
12/07/2025;L023;U084;1000
12/07/2025;L022;U051;1000
13/07/2025;L039;U047;1000
13/07/2025;L019;U049;1000
13/07/2025;L019;U019;1000
13/07/2025;L024;U037;1000
13/07/2025;L033;U081;1000
13/07/2025;L010;U072;1000
14/07/2025;L012;U086;1000
15/07/2025;L022;U081;1000
16/07/2025;L002;U014;1000
16/07/2025;L031;U057;1000
16/07/2025;L033;U081;1000
16/07/2025;L023;U066;1000
16/07/2025;L019;U013;1000
16/07/2025;L024;U014;1000
16/07/2025;L039;U081;1000
16/07/2025;L039;U048;1000
17/07/2025;L027;U040;1000
17/07/2025;L027;U007;1000
17/07/2025;L015;U044;1000
17/07/2025;L011;U013;1000
18/07/2025;L008;U010;1000
18/07/2025;L038;U060;1000
18/07/2025;L037;U039;1000
18/07/2025;L014;U067;1000
18/07/2025;L036;U061;1000
18/07/2025;L018;U046;1000
18/07/2025;L017;U008;1000
18/07/2025;L040;U028;1000
18/07/2025;L030;U081;1000
18/07/2025;L020;U002;1000
18/07/2025;L007;U081;1000
19/07/2025;L014;U081;1000
19/07/2025;L002;U087;1000
20/07/2025;L033;U049;1000
20/07/2025;L030;U046;1000
20/07/2025;L037;U052;1000
20/07/2025;L028;U006;1000
21/07/2025;L012;U009;1000
22/07/2025;L039;U052;1000
22/07/2025;L011;U060;1000
22/07/2025;L033;U018;1000
22/07/2025;L033;U066;1000
22/07/2025;L016;U012;1000
22/07/2025;L039;U021;1000
22/07/2025;L023;U066;1000
23/07/2025;L009;U081;1000
23/07/2025;L040;U062;1000
23/07/2025;L015;U047;1000
24/07/2025;L039;U085;1000
24/07/2025;L003;U053;1000
24/07/2025;L026;U058;1000
24/07/2025;L039;U038;1000
24/07/2025;L002;U028;1000
24/07/2025;L039;U072;1000
24/07/2025;L021;U042;1000
24/07/2025;L030;U043;1000
24/07/2025;L019;U077;1000
25/07/2025;L038;U028;1000
25/07/2025;L002;U056;1000
26/07/2025;L030;U015;1000
26/07/2025;L039;U064;1000
26/07/2025;L023;U016;1000
26/07/2025;L037;U043;1000
26/07/2025;L005;U073;1000
27/07/2025;L027;U009;1000
28/07/2025;L018;U081;1000
29/07/2025;L014;U022;1000
29/07/2025;L024;U037;1000
29/07/2025;L024;U081;1000
30/07/2025;L017;U012;1000
30/07/2025;L033;U074;1000
31/07/2025;L037;U023;1000
31/07/2025;L011;U078;1000
31/07/2025;L016;U040;1000
31/07/2025;L002;U083;1000
31/07/2025;L030;U013;1000
01/08/2025;L014;U066;1200
01/08/2025;L026;U040;1200
01/08/2025;L006;U025;1200
01/08/2025;L016;U006;1200
02/08/2025;L028;U030;1200
02/08/2025;L015;U080;1200
02/08/2025;L015;U047;1200
02/08/2025;L031;U081;1200
02/08/2025;L011;U070;1200
